1,Finland,4373,0.08,733,0.18,167711,73775,Europe,7.8
2,Denmark,4557,0.09,1714,0.41,376069,165622,Europe,7.6
3,Iceland,255,0,86,0.02,337787,231462,Europe,7.6
4,Switzerland,6958,0.13,4689,1.12,673962,146733,Europe,7.5
5,Israel,5626,0.11,1284,0.31,228268,80315,Asia,7.4
6,Luxembourg,498,0.01,238,0.06,477306,259899,Europe,7.4
7,Netherlands,13462,0.26,5076,1.21,377092,136105,Europe,7.4
8,Norway,4184,0.08,1154,0.28,275880,117798,Europe,7.4
9,Sweden,7794,0.15,2620,0.63,336166,89846,Europe,7.4
10,Australia,19159,0.37,9268,2.22,483755,238072,Australia,7.2
11,New Zealand,3600,0.07,1253,0.3,348198,171624,Australia,7.2
12,Canada,29934,0.57,9948,2.38,332323,125688,America,7
13,Germany,68015,1.3,18274,4.37,268681,65374,Europe,7
15,United States,249969,4.78,126340,30.2,505421,79274,America,7
16,Czech Republic,8528,0.16,666,0.16,78103,23794,Europe,6.9
17,United Kingdom,52568,1,15284,3.65,290754,131522,Europe,6.9
18,Belgium,8993,0.17,3159,0.76,351327,230548,Europe,6.8
21,Costa Rica,3696,0.07,164,0.04,44337,14662,America,6.6
22,Slovenia,1672,0.03,201,0.05,120173,67961,Europe,6.6
23,United Arab Emirates,8053,0.15,930,0.22,115476,21613,Asia,6.6
24,Italy,49746,0.95,11901,2.84,239244,118885,Europe,6.5
25,Romania,15208,0.29,761,0.18,50009,23675,Europe,6.5
26,Saudi Arabia,24186,0.46,1662,0.4,68697,15495,Asia,6.5
27,Singapore,4887,0.09,1627,0.39,332995,86717,Asia,6.5
28,Spain,37798,0.72,8585,2.05,227122,105831,Europe,6.5
29,Taiwan,19633,0.38,4690,1.12,238862,93044,Asia,6.5
30,Lithuania,2166,0.04,138,0.03,63500,29679,Europe,6.4
31,Malta,358,0.01,53,0.01,148934,84390,Europe,6.4
32,Qatar,2396,0.05,352,0.08,146730,83680,Asia,6.4
33,Slovakia,4346,0.08,296,0.07,68059,45853,Europe,6.4
34,Brazil,153307,2.93,2801,0.67,18272,3469,America,6.3
35,Estonia,1044,0.02,81,0.02,77817,38901,Europe,6.3
36,Panama,2843,0.05,125,0.03,43979,13147,America,6.3
37,Chile,14259,0.27,764,0.18,53591,17747,America,6.2
38,Cyprus,679,0.01,97,0.02,142304,35300,Europe,6.2
39,Kazakhstan,12226,0.23,409,0.1,33463,12029,Asia,6.2
40,Latvia,1477,0.03,104,0.02,70454,33884,Europe,6.2
41,Nicaragua,4107,0.08,50,0.01,12239,3694,America,6.2
42,Serbia,5480,0.1,174,0.04,31705,14954,Europe,6.2
43,Croatia,3303,0.06,228,0.05,69140,34945,Europe,6.1
44,El Salvador,4201,0.08,143,0.03,34003,11372,America,6.1
45,Hungary,7769,0.15,417,0.1,53664,24126,Europe,6.1
46,Kuwait,3146,0.06,409,0.1,129890,28698,Asia,6.1
47,Mauritius,968,0.02,61,0.01,63372,27456,Asia,6.1
48,Mexico,85136,1.63,3634,0.87,42689,13752,America,6.1
49,Poland,30315,0.58,2046,0.49,67477,23550,Europe,6.1
50,Uruguay,2530,0.05,154,0.04,60914,22088,America,6.1
